rank,method,samples,percent
1,java.math.BigInteger.smallToString,54,18.49
2,java.math.MutableBigInteger.binaryGcd,50,17.12
3,java.math.BigInteger.toString,24,8.22
4,java.math.BigInteger.multiply,15,5.14
5,com.zyy.arithmetic.ArithmeticGenerator.generateUniqueExpression,15,5.14
6,java.math.BigInteger.multiplyByInt,12,4.11
7,java.lang.Object.clone,11,3.77
8,java.math.MutableBigInteger.clear,10,3.42
9,com.zyy.arithmetic.Expression$BinaryNode.canonicalKey,8,2.74
10,java.lang.invoke.DirectMethodHandle$Holder.invokeStatic,8,2.74
11,java.math.MutableBigInteger.hybridGCD,6,2.05
12,java.math.BigInteger.divideKnuth,6,2.05
13,java.lang.StringLatin1.hashCode,6,2.05
14,java.math.MutableBigInteger.divideKnuth,5,1.71
15,java.util.HashMap.resize,5,1.71
16,com.zyy.arithmetic.Fraction.<init>,4,1.37
17,com.zyy.arithmetic.ArithmeticGenerator.constrain,4,1.37
18,java.util.HashMap.putVal,4,1.37
19,com.zyy.arithmetic.ArithmeticGenerator.generate,4,1.37
20,java.math.MutableBigInteger.toBigInteger,4,1.37
21,java.math.MutableBigInteger.compare,3,1.03
22,java.math.MutableBigInteger.divide,3,1.03
23,java.math.MutableBigInteger.<init>,3,1.03
24,java.lang.StringConcatHelper.stringOf,3,1.03
25,com.zyy.arithmetic.ArithmeticGenerator.randomOperator,2,0.68
26,com.zyy.arithmetic.Fraction.of,2,0.68
27,java.lang.StringLatin1.compareTo,2,0.68
28,java.lang.Long.toString,2,0.68
29,java.util.Random.next,2,0.68
30,com.zyy.arithmetic.ArithmeticGenerator.generateTree,1,0.34
31,java.lang.Integer.numberOfLeadingZeros,1,0.34
32,java.util.AbstractList.<init>,1,0.34
33,java.lang.StringConcatHelper.simpleConcat,1,0.34
34,java.lang.StringConcatHelper.newArray,1,0.34
35,com.zyy.arithmetic.Expression$NumberNode.canonicalKey,1,0.34
36,java.lang.invoke.InvokerBytecodeGenerator.isStaticallyInvocable,1,0.34
37,java.io.WinNTFileSystem.getBooleanAttributes,1,0.34
38,jdk.internal.misc.Unsafe.allocateUninitializedArray,1,0.34
39,java.math.MutableBigInteger.difference,1,0.34
40,com.zyy.arithmetic.Operator.values,1,0.34
41,com.zyy.arithmetic.Fraction.equals,1,0.34
42,java.math.BigInteger.subtract,1,0.34
43,java.math.BigInteger.add,1,0.34
44,java.lang.StringBuilder.<init>,1,0.34
